,,,,,,,,,,
rank,WSID,OVERALL (team),POS,BYE,BEST,WORST,AVG,STD DEV,ADP,VS. ADP
81,,Curtis Samuel CAR ,WR34 ,7,56,154,85,14.1,91,10
82,,Cam Newton CAR ,QB6 ,7,31,149,85.1,16.1,85,3
83,,Carson Wentz PHI ,QB7 ,10,56,163,85.1,15,79,-4
84,,Marvin Jones DET ,WR35 ,5,52,160,85.9,13.7,92,8
85,,Christian Kirk ARI ,WR36 ,12,49,126,87.9,12.5,78,-7
86,,Jared Cook NO ,TE7 ,9,16,153,88.5,17.4,71,-15
87,,Jordan Howard PHI ,RB37 ,10,51,166,89.2,23.1,82,-5
88,,Russell Wilson SEA ,QB8 ,11,37,140,90.1,17.4,86,-2
89,,Corey Davis TEN ,WR37 ,11,44,136,90.9,15.5,97,8
90,,Dante Pettis SF ,WR38 ,4,49,137,93.9,18.3,93,3
91,,Drew Brees NO ,QB9 ,9,32,164,97.7,18.3,81,-10
92,,Dede Westbrook JAC ,WR39 ,10,41,156,98.7,19.3,90,-2
93,,Sterling Shepard NYG ,WR40 ,11,60,147,98.7,15.2,95,2
94,,Jared Goff LAR ,QB10 ,9,57,142,99.1,15.2,84,-10
95,,Vance McDonald PIT ,TE8 ,7,60,168,99.4,20.5,87,-8
96,,Jameis Winston TB ,QB11 ,7,50,147,99.8,16.1,100,4
97,,Matt Breida SF ,RB38 ,4,55,223,100.1,29.8,110,13
98,,Kalen Ballage MIA ,RB39 ,5,55,197,100.8,22.5,106,8
99,,David Njoku CLE ,TE9 ,7,55,174,101.7,22.4,101,2
100,,Darrell Henderson LAR ,RB40 ,9,39,240,102.9,29.7,83,-17
101,,Kyler Murray ARI ,QB12 ,12,50,224,105.6,26.3,104,3
102,,Courtland Sutton DEN ,WR41 ,10,61,163,105.9,16.3,108,6
103,,LeSean McCoy BUF ,RB41 ,6,55,201,106.6,27.5,103,0
104,,Larry Fitzgerald ARI ,WR42 ,12,78,162,107.2,15.7,96,-8
105,,Peyton Barber TB ,RB42 ,7,62,214,110.1,23.5,105,0
106,,Lamar Jackson BAL ,QB13 ,8,55,215,111.4,22.9,114,8
107,,Geronimo Allison GB ,WR43 ,11,73,166,112.1,16.9,116,9
108,,Ben Roethlisberger PIT ,QB14 ,7,64,156,113.2,19.5,109,1
109,,Adrian Peterson WAS ,RB43 ,10,55,184,111.1,23.9,119,10
110,,Dak Prescott DAL ,QB15 ,8,60,227,114.8,17.3,128,18
111,,DeSean Jackson PHI ,WR44 ,10,74,177,115.1,16.5,125,14
112,,Eric Ebron IND ,TE10 ,6,55,235,116.1,32.7,76,-36
113,,Marquez Valdes-Scantling GB ,WR45 ,11,60,222,117.3,21.4,111,-2
114,,Ronald Jones II TB ,RB44 ,7,63,201,119.8,28.6,121,7
