1,,Jonathan Taylor (IND)    ,RB1,14,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,0
2,,Christian McCaffrey (CAR)      ,RB2,13,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,0
3,,Derrick Henry (TEN)     ,RB3,6,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,1
4,,Dalvin Cook (MIN)      ,RB4,7,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,4
5,,Austin Ekeler (LAC)    ,RB5,8,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-2
6,,Joe Mixon (CIN)     ,RB6,10,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,3
7,,Najee Harris (PIT)    ,RB7,9,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,-1
8,,Justin Jefferson (MIN)     ,WR1,7,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-1
9,,Cooper Kupp (LAR)     ,WR2,7,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-4
10,,Nick Chubb (CLE)     ,RB8,9,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,5
11,,Ja'Marr Chase (CIN)     ,WR3,10,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,-1
12,,Alvin Kamara (NO)     ,RB9,14,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,1
13,,Mark Andrews (BAL)      ,TE1,10,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,12
14,,Saquon Barkley (NYG)     ,RB10,9,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,2
15,,D'Andre Swift (DET)     ,RB11,6,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,-4
16,,Travis Kelce (KC)    ,TE2,8,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,1
17,,Stefon Diggs (BUF)    ,WR4,7,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,-3
18,,Davante Adams (LV)      ,WR5,6,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-6
19,,Deebo Samuel (SF)      ,WR6,9,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,3
20,,Javonte Williams (DEN)     ,RB12,9,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,-1
21,,CeeDee Lamb (DAL)     ,WR7,9,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,0
22,,Aaron Jones (GB)      ,RB13,14,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,-2
23,,Leonard Fournette (TB)      ,RB14,11,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,1
24,,Mike Evans (TB)     ,WR8,11,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,2
25,,Tyreek Hill (MIA)     ,WR9,11,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-2
26,,James Conner (ARI)     ,RB15,13,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,1
27,,AJ Brown (PHI)      ,WR10,7,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,3
28,,Kyle Pitts (ATL)      ,TE3,14,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,3
29,,Tee Higgins (CIN)      ,WR11,10,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,6
30,,Ezekiel Elliott (DAL)      ,RB16,9,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,-2
31,,Michael Pittman  (IND)     ,WR12,14,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,3
32,,Josh Allen (BUF)    ,QB1,7,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,-14
33,,DJ Moore (CAR)      ,WR13,13,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,7
34,,Courtland Sutton (DEN)      ,WR14,9,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,9
35,,Mike Williams (LAC)      ,WR15,8,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,9
36,,Keenan Allen (LAC)    ,WR16,8,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,-4
37,,Terry McLaurin (WAS)     ,WR17,14,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,8
38,,Breece Hall (NYJ)    ,RB17,10,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,3
39,,Travis Etienne  (JAC)      ,RB18,11,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,-3
40,,David Montgomery (CHI)      ,RB19,14,5 out of 5 stars 5 out of 5 stars 5 out of 5 stars 5 out of 5 stars 5 out of 5 stars,-3
41,,Justin Herbert (LAC)      ,QB2,8,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,-8
42,,Cam Akers (LAR)      ,RB20,7,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-4
43,,Elijah Mitchell (SF)      ,RB21,9,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,4
44,,DK Metcalf (SEA)      ,WR18,11,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,9
45,,Jaylen Waddle (MIA)     ,WR19,11,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,7
46,,Gabriel Davis (BUF)      ,WR20,7,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,17
47,,George Kittle (SF)    ,TE4,9,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,-8
48,,Diontae Johnson (PIT)      ,WR21,9,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,1
49,,Brandin Cooks (HOU)      ,WR22,6,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,12
50,,AJ Dillon (GB)      ,RB22,14,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,0
51,,Patrick Mahomes II (KC)     ,QB3,8,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-22
52,,Allen Robinson II (LAR)     ,WR23,7,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,6
53,,Darren Waller (LV)    ,TE5,6,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-7
54,,Lamar Jackson (BAL)    ,QB4,10,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-12
55,,J.K. Dobbins (BAL)      ,RB23,10,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,-4
