83,,Laviska Shenault Jr. (JAC)      ,WR37,49,293,89.8,25.9
84,,Melvin Gordon (DEN)     ,RB30,47,182,90,18.3
85,,Ryan Tannehill (TEN)      ,QB10,53,115,90.2,10
86,,Will Fuller V (MIA)      ,WR38,50,203,93.1,20.6
87,,Antonio Brown (TB)      ,WR39,37,196,90.3,23.5
88,,Trey Sermon (SF)      ,RB31,42,310,90.8,29.3
89,,Jalen Hurts (PHI)      ,QB11,56,154,94.6,13.6
90,,D.J. Chark Jr. (JAC)      ,WR40,45,309,94.9,29.8
91,,Jarvis Landry (CLE)    ,WR41,48,174,95.8,18.1
92,,DeVonta Smith (PHI)      ,WR42,33,169,92.4,21.4
93,,Matthew Stafford (LAR)      ,QB12,70,131,97.8,10.1
94,,Ronald Jones II (TB)     ,RB32,47,181,98.1,20.4
95,,Dallas Goedert (PHI)      ,TE9,53,163,98.3,19.8
96,,Robert Tonyan (GB)      ,TE10,63,153,99.3,17
97,,Michael Carter (NYJ)      ,RB33,55,187,99,22.4
98,,Kenyan Drake (LV)     ,RB34,59,256,103.8,21.6
99,,Tyler Higbee (LAR)      ,TE11,63,246,101.4,25.9
100,,James Conner (ARI)      ,RB35,60,205,105.1,19.9
101,,Zack Moss (BUF)      ,RB36,65,181,105.6,19.5
102,,Curtis Samuel (WAS)     ,WR43,55,244,106.1,23.7
103,,Nyheim Hines (IND)     ,RB37,71,170,106.7,21.1
104,,Joe Burrow (CIN)      ,QB13,68,163,108.2,12.2
105,,Jamaal Williams (DET)      ,RB38,80,168,110.6,18.7
106,,Mike Gesicki (MIA)      ,TE12,63,142,110.6,17.2
107,,Mike Williams (LAC)      ,WR44,67,218,108.3,22.6
108,,Michael Gallup (DAL)     ,WR45,72,216,112.1,21.2
109,,Leonard Fournette (TB)      ,RB39,76,187,113.1,21
110,,Marvin Jones Jr. (JAC)     ,WR46,60,186,113.2,22.9
111,,Michael Pittman Jr. (IND)      ,WR47,73,196,113.7,26.4
112,,A.J. Dillon (GB)    ,RB40,76,186,115,20.1
113,,Jonnu Smith (NE)      ,TE13,63,180,116.3,20.1
114,,Devin Singletary (BUF)    ,RB41,67,188,116.8,16.4
