1,Justin Jefferson,MIN,WR,13
2,Christian McCaffrey,SF,RB,9
3,Nick Chubb,CLE,RB,5
4,Austin Ekeler,LAC,RB,5
5,Travis Kelce,KC,TE,10
6,Bijan Robinson,ATL,RB,11
7,Tyreek Hill,MIA,WR,10
8,Ja'Marr Chase,CIN,WR,7
9,Cooper Kupp,LAR,WR,10
10,Saquon Barkley,NYG,RB,13
11,Derrick Henry,TEN,RB,7
12,Stefon Diggs,BUF,WR,13
13,AJ Brown,PHI,WR,10
14,Tony Pollard,DAL,RB,7
15,CeeDee Lamb,DAL,WR,7
16,Jonathan Taylor,IND,RB,11
17,Davante Adams,LV,WR,13
18,Patrick Mahomes,KC,QB,10
19,Amon-Ra St. Brown,DET,WR,9
20,Garrett Wilson,NYJ,WR,7
21,Josh Jacobs,LV,RB,13
22,Jaylen Waddle,MIA,WR,10
23,Chris Olave,NO,WR,11
24,Josh Allen,BUF,QB,13
25,Rhamondre Stevenson,NE,RB,11
26,Najee Harris,PIT,RB,6
27,Jalen Hurts,PHI,QB,10
28,Tee Higgins,CIN,WR,7
29,Travis Etienne Jr.,JAX,RB,9
30,Joe Mixon,CIN,RB,7
31,Amari Cooper,CLE,WR,5
32,Deebo Samuel,SF,WR,9
33,DeVonta Smith,PHI,WR,10
34,Mark Andrews,BAL,TE,13
35,Breece Hall,NYJ,RB,7
36,DK Metcalf,SEA,WR,5
37,Calvin Ridley,JAX,WR,9
38,Kenneth Walker III,SEA,RB,5
39,JK Dobbins,BAL,RB,13
40,Jahmyr Gibbs,DET,RB,9
41,Aaron Jones,GB,RB,6
42,DJ Moore,CHI,WR,13
43,Dameon Pierce,HOU,RB,7
44,Cam Akers,LAR,RB,10
45,Joe Burrow,CIN,QB,7
46,TJ Hockenson,MIN,TE,13
47,Keenan Allen,LAC,WR,5
48,Alexander Mattison,MIN,RB,13
49,Terry McLaurin,WAS,WR,14
50,Lamar Jackson,BAL,QB,13
51,Christian Watson,GB,WR,6
52,Miles Sanders,CAR,RB,7
53,David Montgomery,DET,RB,9
54,Jerry Jeudy,DEN,WR,9
55,Darren Waller,NYG,TE,13
56,Isiah Pacheco,KC,RB,10
57,Kyle Pitts,ATL,TE,11
58,Tyler Lockett,SEA,WR,5
59,George Kittle,SF,TE,9
60,Justin Fields,CHI,QB,13
61,Mike Williams,LAC,WR,5
62,DeAndre Hopkins,TEN,WR,7
63,James Conner,ARI,RB,14
64,Justin Herbert,LAC,QB,5
65,Drake London,ATL,WR,11
66,D'Andre Swift,PHI,RB,10
67,Dallas Goedert,PHI,TE,10
68,Mike Evans,TB,WR,5
69,Javonte Williams,DEN,RB,9
70,Brandon Aiyuk,SF,WR,9
71,Brian Robinson Jr.,WAS,RB,14
72,Alvin Kamara,NO,RB,11
73,Christian Kirk,JAX,WR,9
74,Dalvin Cook,NYJ,RB,7
75,Trevor Lawrence,JAX,QB,9
76,Jameson Williams,DET,WR,9
77,Jahan Dotson,WAS,WR,14
78,Chris Godwin,TB,WR,5
79,George Pickens,PIT,WR,6
80,Rachaad White,TB,RB,5
81,Michael Pittman Jr.,IND,WR,11
82,Zach Charbonnet,SEA,RB,5
83,James Cook,BUF,RB,13
84,Pat Freiermuth,PIT,TE,6
85,Evan Engram,JAX,TE,9
86,Tyler Allgeier,ATL,RB,11
87,Deshaun Watson,CLE,QB,5
88,AJ Dillon,GB,RB,6
89,Marquise Brown,ARI,WR,14
90,Gabe Davis,BUF,WR,13
91,Jaxon Smith-Njigba,SEA,WR,5
92,Rashod Bateman,BAL,WR,13
93,Rashaad Penny,PHI,RB,10
94,Khalil Herbert,CHI,RB,13
95,Jamaal Williams,NO,RB,11
96,Diontae Johnson,PIT,WR,6
97,Dak Prescott,DAL,QB,7
98,Courtland Sutton,DEN,WR,9
99,Michael Thomas,NO,WR,11
100,Treylon Burks,TEN,WR,7
101,Kirk Cousins,MIN,QB,13
102,Zay Flowers,BAL,WR,13
103,Aaron Rodgers,NYJ,QB,7
