FantasyPros.com ,"this is from sports illustrated.com, not fantasy pros. Weird",,,,
 NFL Rankings ,,,,,
,,,,,
,,,,,
Rank,Player Name,Team,Position,ECR,vs. ECR
127,Josh Allen,BUF,QB,130,3
128,Jimmy Garoppolo,SF,QB,143,15
129,Marquez Valdes-Scantling,GB,WR,113,-16
130,Miles Boykin,BAL,WR,266,136
131,Dante Pettis,SF,WR,90,-41
132,Tre'Quan Smith,NO,WR,150,18
133,Peyton Barber,TB,RB,105,-28
134,Matt Breida,SF,RB,97,-37
135,Dion Lewis,TEN,RB,120,-15
136,Nick Foles,JAC,QB,188,52
137,Marcus Mariota,TEN,QB,197,60
138,Quincy Enunwa,NYJ,WR,178,40
139,Kalen Ballage,MIA,RB,98,-41
140,Justin Jackson,LAC,RB,132,-8
141,Darrell Henderson,LAR,RB,100,-41
142,Jalen Richard,OAK,RB,209,67
143,Jordan Howard,PHI,RB,87,-56
144,Justice Hill,BAL,RB,141,-3
145,Rashaad Penny,SEA,RB,73,-72
146,Eric Ebron,IND,TE,112,-34
147,Mark Andrews,BAL,TE,140,-7
148,Damien Harris,NE,RB,142,-6
149,Darwin Thompson,KC,RB,162,13
150,Jaylen Samuels,PIT,RB,136,-14
151,Tony Pollard,DAL,RB,175,24
152,Adrian Peterson,WAS,RB,109,-43
153,Ryquell Armstead,JAC,RB,230,77
154,Ito Smith,ATL,RB,144,-10
155,David Njoku,CLE,TE,99,-56
156,Chicago Bears,CHI,DST,174,18
157,Los Angeles Rams,LAR,DST,176,19
158,Trey Quinn,WAS,WR,213,55
159,Kareem Hunt,CLE,RB,146,-13
160,Kenny Stills,MIA,WR,129,-31
161,Jordan Reed,WAS,TE,154,-7
162,Trey Burton,CHI,TE,131,-31
163,Greg Olsen,CAR,TE,156,-7
164,Chris Herndon IV,NYJ,TE,179,15
165,C.J. Anderson,DET,RB,147,-18
166,Jacksonville Jaguars,JAC,DST,177,11
167,Minnesota Vikings,MIN,DST,182,15
168,Alexander Mattison,MIN,RB,155,-13
169,Houston Texans,HOU,DST,187,18
170,Keke Coutee,HOU,WR,126,-44
171,Los Angeles Chargers,LAC,DST,185,14
172,Devin Singletary,BUF,RB,133,-39
173,Denver Broncos,DEN,DST,207,34
174,Cleveland Browns,CLE,DST,194,20
175,Greg Zuerlein,LAR,K,195,20
176,Terry McLaurin,WAS,WR,277,101
177,Mike Gesicki,MIA,TE,257,80
178,Jimmy Graham,GB,TE,157,-21
179,Austin Hooper,ATL,TE,122,-57
