37,,David Montgomery (CHI)      ,RB18,14,5 out of 5 stars 5 out of 5 stars 5 out of 5 stars 5 out of 5 stars 5 out of 5 stars,-1
38,,Jaylen Waddle (MIA)     ,WR16,11,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,7
39,,Courtland Sutton (DEN)      ,WR17,9,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,17
40,,Mike Williams (LAC)      ,WR18,8,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,7
41,,Terry McLaurin (WAS)     ,WR19,14,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,-1
42,,Breece Hall (NYJ)    ,RB19,10,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,9
43,,Justin Herbert (LAC)      ,QB2,8,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,-9
44,,Brandin Cooks (HOU)      ,WR20,6,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,9
45,,Allen Robinson II (LAR)     ,WR21,7,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,17
46,,Patrick Mahomes II (KC)     ,QB3,8,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-17
47,,Cam Akers (LAR)      ,RB20,7,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-9
48,,George Kittle (SF)    ,TE4,9,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,-11
49,,AJ Dillon (GB)      ,RB21,14,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,18
50,,Lamar Jackson (BAL)    ,QB4,10,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-7
51,,DK Metcalf (SEA)      ,WR22,11,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,-5
52,,Elijah Mitchell (SF)      ,RB22,9,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-3
53,,Darren Waller (LV)    ,TE5,6,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-9
54,,Josh Jacobs (LV)      ,RB23,6,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-6
55,,Darnell Mooney (CHI)     ,WR23,14,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,17
56,,Marquise Brown (ARI)      ,WR24,13,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,4
57,,Chase Edmonds (MIA)      ,RB24,11,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,31
58,,J.K. Dobbins (BAL)      ,RB25,10,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,-8
59,,Amon-Ra St. Brown (DET)     ,WR25,6,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,4
60,,Chris Godwin (TB)      ,WR26,11,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,-2
61,,Michael Thomas (NO)     ,WR27,14,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,16
62,,Rashod Bateman (BAL)      ,WR28,10,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,27
63,,Jerry Jeudy (DEN)      ,WR29,9,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,2
64,,Antonio Gibson (WAS)      ,RB26,14,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,-5
65,,Dalton Schultz (DAL)      ,TE6,9,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,-10
66,,Kyler Murray (ARI)    ,QB5,13,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-14
67,,Jalen Hurts (PHI)      ,QB6,7,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,-13
68,,JuJu Smith-Schuster (KC)     ,WR30,8,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,5
69,,Clyde Edwards-Helaire (KC)     ,RB27,8,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,-8
70,,Dameon Pierce (HOU)      ,RB28,6,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,17
71,,Gabriel Davis (BUF)      ,WR31,7,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,-3
72,,Kareem Hunt (CLE)     ,RB29,9,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,13
73,,Amari Cooper (CLE)      ,WR32,9,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,-7
74,,Tony Pollard (DAL)     ,RB30,9,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,10
75,,Elijah Moore (NYJ)     ,WR33,10,1 out of 5 stars 1 out of 5 stars 1 out of 5 stars 1 out of 5 stars 1 out of 5 stars,15
76,,Joe Burrow (CIN)      ,QB7,10,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-19
77,,Dallas Goedert (PHI)    ,TE7,7,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-8
78,,Adam Thielen (MIN)      ,WR34,7,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-8
79,,Rhamondre Stevenson (NE)      ,RB31,10,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,21
80,,Damien Harris (NE)      ,RB32,10,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,-2
81,,Rashaad Penny (SEA)     ,RB33,11,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,5
82,,Miles Sanders (PHI)     ,RB34,7,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,-3
83,,Cordarrelle Patterson (ATL)      ,RB35,14,1 out of 5 stars 1 out of 5 stars 1 out of 5 stars 1 out of 5 stars 1 out of 5 stars,-1
84,,T.J. Hockenson (DET)    ,TE8,6,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,-20
85,,Devin Singletary (BUF)      ,RB36,7,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,-2
86,,Tom Brady (TB)    ,QB8,11,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,-15
87,,Russell Wilson (DEN)    ,QB9,9,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,-13
88,,Hunter Renfrow (LV)      ,WR35,6,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-7
89,,Brandon Aiyuk (SF)      ,WR36,9,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,8
90,,DeVonta Smith (PHI)    ,WR37,7,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,2
91,,Dak Prescott (DAL)    ,QB10,9,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,-15
92,,Drake London (ATL)      ,WR38,14,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,6
93,,Christian Kirk (JAC)     ,WR39,11,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,6
94,,Melvin Gordon III (DEN)    ,RB37,9,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,11
95,,Zach Ertz (ARI)    ,TE9,13,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,-4
96,,Allen Lazard (GB)     ,WR40,14,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,7
